"stimEncoding",,"stimTest1",,,"stimTest2",,,"stimTraining",,"responseArray1","rtArray1","responseTimeArray1",
"freezer","peek","rake","tuna","Rearr","steak","weight","Intact","stellar","magnet","0",0.050005,0.3364,
"vegetable","appear","naive","press","Rearr","profound","climb","Rearr","cat","ahoy","0",0.050003,0.68625,
"repeat","stain","cherry","robe","Intact","mile","agreement","Rearr","france","newton","0",0.050035,1.0201,
"thunder","jabber","minimum","guess","Intact","return","late","Rearr","spanish","tax","0",0.050045,1.3706,
"fighter","spring","bomb","mouse","Rearr","hamster","unfair","Novel","comb","flakes","0",0.050031,1.7205,
"rental","subway","goal","stair","Rearr","quart","annoy","Intact","browse","morning","0",0.050032,2.0703,
"bookcase","coat","snore","dustpan","Novel","shame","country","Rearr","soprano","human","1",0.0040595,2.3755,
"jacket","crooked","change","creep","Intact","perfume","monotone","Intact","thunder","jabber","1",0.041075,2.7456,
"clatter","cake","jungle","delicate","Intact","squint","team","Intact","study","climb","1",0.0020816,3.0392,
"minnow","blend","enough","vine","Novel","finish","shell","Intact","marriage","check","1",0.048398,3.3862,
"wheat","caper","female","suggest","Intact","tantrum","head","Novel","less","together","0",0.050117,3.7375,
"mile","fury","fighter","whole","Rearr","less","together","Intact","exhale","mirror","3",0.0040271,4.0413,
"obstacle","purpose","surprise","noodles","Novel","doll","priest","Novel","choice","bouquet","0",0.050867,4.4052,
"truth","mold","bicycle","flop","Rearr","exact","clothes","Novel","hurt","cans","1",0.042306,4.7467,
"charm","society","straight","blend","Rearr","blanket","loser","Novel","exercise","agreement","0",0.0512,5.0889,
"bomb","barn","cowboy","advice","Rearr","vein","spit","Intact","profound","fish","0",0.050807,5.4389,
"bend","bashful","large","acoustic","Novel","lend","turn","Intact","joke","rays","4",0.040792,5.7787,
"moose","loud","joyous","headache","Rearr","clatter","bouquet","Rearr","artichoke","mouse","1",0.0019692,6.0732,
"olympics","financial","mind","mouth","Intact","wide","washer","Intact","part","fungus","0",0.051099,6.4231,
"peace","calculate","oyster","create","Novel","easy","learn","Intact","orange","summary","0",0.050924,6.7725,
"profound","fish","pride","projector","Intact","worn","cans","Rearr","parent","sock","4",0.033941,7.1055,
"dream","helmet","olympics","divide","Rearr","enemy","congress","Novel","shop","sing","5",0.0025487,7.4078,
"major","demand","shed","pistol","Intact","bravery","dive","Novel","lady","found","0",0.050614,7.7566,
"clear","brother","cylinder","purse","Novel","choice","bleach","Rearr","lake","beard","0",0.051234,8.1068,
"ball","nature","verb","closet","Intact","teeth","cute","Novel","castle","reliable","1",0.0051109,8.4104,
"energy","headache","yawn","contacts","Novel","success","barley","Novel","groceries","accept","1",0.024398,8.7298,
"surreal","superior","rare","telephone","Intact","swear","virtue","Intact","clear","brother","1",0.001458,9.0234,
"exhale","mirror","magazine","rifle","Intact","code","unclear","Novel","verb","closet","1",0.0014153,9.3236,
"skirt","scratch","rope","rivalry","Novel","wasp","drapes","Novel","repeat","stain","1",0.011583,9.6339,
"shrimp","shade","wheat","sock","Rearr","awful","trout","Intact","daring","stripe","0",0.050687,9.9735,
"jungle","delicate","boil","homework","Intact","lady","film","Rearr","value","stupid","0",0.050065,10.3224,
"browse","morning","hunter","crow","Novel","magic","mushroom","Novel","bicycle","stove","1",0.0030439,10.6092,
"greet","stamp","excited","disappear","Novel","chromium","buffalo","Novel","camel","terrible","0",0.050961,10.9563,
"lend","turn","kiss","shut","Rearr","pheasant","florida","Intact","easy","learn","0",0.050845,11.2902,
"marriage","check","able","proof","Intact","ball","news","Rearr","mustache","whole","0",0.050048,11.6392,
"chocolate","bump","stay","turkey","Rearr","egypt","square","Rearr","chapel","tweezers","7",0.030506,11.9531,
"field","offense","glow","plan","Novel","rental","subway","Intact","greet","stamp","0",0.051299,12.3076,
"cushion","crocodile","diamond","rogue","Novel","halloween","foot","Novel","lift","avocado","0",0.05004,12.6565,
"banjo","fruit","taste","superior","Rearr","study","mall","Rearr","narrow","story","0",0.05028,13.0069,
"breakfast","dime","discreet","ocean","Intact","spasm","raven","Novel","goal","dessert","6",0.01427,13.3212,
"folder","award","artichoke","pencil","Rearr","active","beak","Novel","jungle","delicate","0",0.050038,13.6736,
"sigh","wrath","wake","funny","Novel","needle","crazy","Intact","surreal","superior","0",0.050017,14.0069,
"canary","pony","smash","novel","Novel","shield","alike","Novel","dream","helmet","5",0.0021443,14.3096,
"italian","cents","duty","spring","Rearr","chapel","cake","Rearr","kiss","bell","5",0.0014835,14.6082,
"gross","necklace","bookcase","coat","Intact","soprano","cereal","Rearr","tight","winter","2",0.0020724,14.909,
"pheasant","florida","oriole","drum","Novel","canary","pony","Intact","shed","pistol","0",0.050038,15.2575,
"jump","satin","football","calm","Intact","princess","tuba","Novel","defense","tabloids","0",0.050005,15.5905,
"shock","crowbar","pour","pants","Intact","employer","cotton","Novel","cloak","flamingo","0",0.050042,15.9402,
"shop","sing","bush","candy","Novel","simple","bizarre","Novel","phantom","stone","0",0.050047,16.2905,
"egypt","dependent","surreal","nail","Rearr","birch","sale","Rearr","backward","unknown","0",0.05003,16.6406,
"tail","weird","clearance","kettle","Novel","leopard","hurry","Novel","python","movement","0",0.050046,16.9742,
"rich","mandarin","painting","peek","Rearr","penny","lobster","Intact","toad","smart","0",0.050015,17.3241,
"straight","divide","machine","flasher","Rearr","fortune","tripod","Intact","rare","telephone","0",0.050022,17.6575,
"phantom","stone","pillow","ending","Novel","negative","rise","Novel","shampoo","skillet","0",0.050053,18.0081,
"castle","reliable","bench","cleaner","Intact","mother","dependent","Rearr","moose","loud","0",0.050072,18.3582,
"quart","annoy","plant","weird","Rearr","tint","legs","Intact","needle","crazy","0",0.050012,18.6913,
"backward","unknown","snow","office","Novel","dream","shallow","Rearr","rich","mandarin","0",0.050036,19.0412,
"able","proof","middle","live","Intact","moose","loud","Intact","painting","advice","0",0.050044,19.3745,
"iguana","dolphin","dagger","beard","Rearr","peacock","chevron","Intact","crunchy","obey","0",0.050014,19.7246,
"study","climb","scotch","demand","Rearr","meeting","doorknob","Intact","fortune","tripod","0",0.050024,20.0753,
"duty","later","plea","brigade","Rearr","furnish","lapse","Intact","hamburger","minute","0",0.050036,20.4245,
"discreet","ocean","sound","drug","Novel","shrimp","shade","Intact","faint","wire","0",0.050023,20.7749,
"town","empty","major","allow","Rearr","grave","storm","Intact","fighter","spring","0",0.050039,21.1254,
"shoelace","sale","level","buoy","Novel","vegetable","rays","Rearr","present","mall","0",0.050006,21.4588,
"wide","washer","brick","save","Rearr","brain","found","Rearr","line","turkey","0",0.050047,21.8084,
"mist","reason","nose","caper","Rearr","seal","ride","Novel","plant","brigade","0",0.050024,22.1583,
"part","fungus","value","stupid","Intact","mist","helmet","Rearr","bookcase","coat","0",0.050061,22.5091,
"painting","advice","minnow","construct","Rearr","thunder","crowbar","Rearr","upstairs","example","0",0.050032,22.8592,
"faint","wire","line","unusual","Rearr","python","movement","Intact","child","tart","0",0.050003,23.209,
"cowboy","stair","jump","satin","Intact","italian","cents","Intact","worn","late","0",0.050021,23.5586,
"innocent","vest","crunchy","obey","Intact","shock","bacon","Rearr","swear","virtue","0",0.050051,23.909,
"repair","ashtray","silly","maze","Intact","skirt","chicken","Rearr","truth","mold","0",0.05005,24.2597,
"furnish","lapse","energy","later","Rearr","gross","jabber","Rearr","canary","pony","0",0.050002,24.6096,
"cherry","robe","sardine","chest","Novel","knowledge","blackbird","Novel","bench","cleaner","0",0.050008,24.9594,
"fake","thimble","camel","terrible","Intact","elect","difficult","Intact","ball","nature","0",0.050036,25.3093,
"minimum","guess","lake","financial","Rearr","bend","bashful","Intact","pheasant","florida","0",0.051164,25.6604,
"kiss","bell","maker","zone","Novel","chat","smoke","Rearr","repair","ashtray","0",0.050016,26.0097,
"broken","second","frown","tongs","Intact","jigsaw","reliable","Rearr","plea","wine","0",0.050006,26.3604,
"canoe","elephant","sparrow","soup","Rearr","sweet","staff","Novel","anger","construct","0",0.050051,26.71,
"huts","film","charm","society","Intact","tight","winter","Intact","freezer","peek","0",0.050022,27.0602,
"joke","rays","breakfast","dime","Intact","care","cello","Rearr","broken","second","0",0.050006,27.4109,
"warm","tiptoe","bride","hiccup","Novel","hurt","stool","Rearr","football","calm","0",0.050059,27.7612,
"narrow","story","anger","award","Rearr","city","insurance","Novel","forward","pavement","0",0.050016,28.11,
"toad","smart","exhale","mirror","Intact","hook","stain","Rearr","shock","crowbar","0",0.050008,28.46,
"peacock","chevron","peace","second","Rearr","repeat","pizza","Rearr","lend","turn","0",0.050018,28.7935,
"cars","square","burp","barn","Rearr","chocolate","bump","Intact","mile","fury","0",0.050035,29.1438,
"closing","wind","submarine","cedar","Novel","gold","whale","Novel","king","rotten","0",0.050047,29.494,
"choice","bouquet","jail","drink","Novel","control","trouble","Novel","folder","award","0",0.05,29.8442,
"comb","flakes","shampoo","skillet","Intact","faint","wire","Intact","jacket","crooked","0",0.050013,30.1775,
"sparrow","snatch","fridge","unlock","Intact","string","neat","Rearr","charm","society","0",0.050112,30.5291,
"less","together","cook","kidnap","Novel","comb","flakes","Intact","energy","headache","0",0.050001,30.8781,
"hurt","cans","defense","flamingo","Rearr","pepper","gratuity","Novel","cherry","robe","0",0.08003,31.277,
"bicycle","stove","folder","sparkle","Rearr","sour","cape","Novel","joyous","flasher","0",0.050047,31.6279,
"string","goose","uncommon","clue","Intact","hound","plead","Novel","vein","spit","0",0.050007,31.9782,
"uncommon","clue","browse","morning","Intact","cruel","prom","Novel","otter","bacon","0",0.049999,32.3279,
"needle","crazy","iguana","dolphin","Intact","money","legend","Rearr","grass","shape","0",0.05005,32.6781,
"clarinet","legend","sorrow","helper","Rearr","bread","court","Novel","silly","maze","0",0.050014,33.0282,
"pour","pants","king","rotten","Intact","joke","scratch","Rearr","peacock","chevron","0",0.050033,33.3794,
"care","smoke","tail","stove","Rearr","cushion","crocodile","Intact","brain","journey","0",0.050326,33.7286,
"child","tart","daring","stripe","Intact","read","garlic","Novel","burp","pencil","0",0.050028,34.0615,
"brain","journey","sigh","wrath","Intact","hamburger","minute","Intact","field","offense","0",0.050043,34.4121,
"female","suggest","grass","tabloids","Rearr","kind","sleep","Novel","money","saucer","0",0.050008,34.7618,
"brick","flop","limp","quiet","Novel","violin","beetle","Novel","scotch","mitten","0",0.050011,35.1116,
"frown","tongs","narrow","story","Intact","orange","summary","Intact","magazine","rifle","0",0.050008,35.4618,
"fortune","tripod","banjo","fruit","Intact","rich","mandarin","Intact","chocolate","bump","0",0.050001,35.7956,
"ancient","cereal","idea","neutron","Novel","repair","ashtray","Intact","minnow","blend","0",0.050039,36.1458,
"awful","trout","explode","kids","Novel","backward","unknown","Intact","frown","tongs","0",0.050048,36.4798,
"nose","helper","jacket","brother","Rearr","lift","avocado","Intact","defeat","shallow","0",0.050018,36.8121,
"plant","brigade","friend","clockwise","Novel","canoe","elephant","Intact","italian","cents","0",0.050019,37.1622,
"middle","live","clown","bright","Novel","child","tart","Intact","obstacle","purpose","0",0.050065,37.4958,
"chat","catapult","china","lonely","Novel","phantom","reason","Rearr","breakfast","dime","0",0.050005,37.8294,
"computer","soup","computer","land","Rearr","vanish","nature","Rearr","scarf","millionth","0",0.050023,38.1797,
"dagger","tuna","truth","mold","Intact","shop","sing","Intact","apple","snob","0",0.050014,38.529,
"king","rotten","cheerful","shave","Novel","plum","heat","Novel","penny","lobster","0",0.050044,38.8796,
"artichoke","mouse","cheetah","tricycle","Intact","ancient","smart","Rearr","clatter","cake","0",0.057166,39.2204,
"goal","dessert","vacation","dirt","Novel","mail","plain","Novel","naive","nail","0",0.050274,39.563,
"camel","terrible","future","average","Novel","listen","south","Novel","thanks","stab","0",0.050639,39.9136,
"cloak","flamingo","lick","perch","Novel","upstairs","human","Rearr","vegetable","appear","0",0.050006,40.2634,
"silly","maze","fake","thimble","Intact","flame","answer","Novel","artist","worst","0",0.050755,40.6139,
"rare","telephone","winner","suit","Novel","dandelion","catapult","Rearr","closing","wind","0",0.050021,40.9634,
"stay","land","hornet","limousine","Novel","bungalow","sunday","Novel","birch","pizza","0",0.050052,41.3136,
"verb","closet","parent","bell","Rearr","toad","journey","Rearr","dagger","tuna","0",0.050015,41.6633,
"forward","pavement","private","crescent","Novel","obstacle","purpose","Intact","meeting","doorknob","0",0.05,42.0206,
"machine","unusual","creator","collect","Novel","thanks","stab","Intact","frog","press","0",0.050071,42.3742,
"thanks","stab","pledge","collar","Novel","scarf","example","Rearr","comment","wood","0",0.050073,42.7511,
"plea","wine","puzzle","stack","Novel","innocent","vest","Intact","nose","helper","0",0.050634,43.0989,
"chapel","tweezers","closing","wind","Intact","jelly","workout","Novel","computer","soup","0",0.050012,43.4475,
"hook","cello","frog","snatch","Rearr","stork","accordion","Novel","middle","live","0",0.050025,43.7973,
"orange","summary","vulture","strung","Novel","pimple","kitchen","Novel","chat","catapult","0",0.050048,44.1478,
"hamburger","minute","knife","sick","Intact","defeat","tweezers","Rearr","awful","trout","0",0.051377,44.4825,
"finish","shell","splice","boat","Novel","exercise","appear","Rearr","mist","reason","0",0.050028,44.8311,
"knife","sick","cloak","crooked","Rearr","artist","worst","Intact","jump","satin","0",0.05004,45.1818,
"frog","press","warm","tiptoe","Intact","castle","saucer","Rearr","machine","unusual","0",0.050009,45.5316,
"joyous","flasher","chemistry","shape","Rearr","pass","relative","Novel","wheat","caper","0",0.051071,45.8822,
"vanish","news","greet","stamp","Intact","affirm","whistle","Novel","chemistry","save","0",0.050008,46.2318,
"return","stool","field","offense","Intact","yellow","reef","Novel","pour","pants","0",0.050938,46.5826,
"exercise","agreement","groceries","accept","Intact","apple","millionth","Rearr","rental","subway","0",0.050029,46.9318,
"lady","found","bison","dessert","Rearr","otter","stone","Rearr","elect","difficult","0",0.050025,47.2816,
"change","creep","comment","wood","Intact","cars","fish","Rearr","squint","team","0",0.050023,47.6316,
"naive","nail","clear","wine","Rearr","present","snob","Rearr","major","demand","0",0.050028,47.982,
"hold","dealer","grenade","space","Novel","dress","heave","Novel","able","proof","0",0.050556,48.3334,
"easy","learn","mustache","account","Rearr","circle","chirp","Novel","peace","calculate","0",0.050014,48.6829,
"line","turkey","part","fungus","Intact","shoelace","clang","Rearr","jigsaw","country","0",0.050176,49.0333,
"burp","pencil","forward","pavement","Intact","huts","fury","Rearr","knife","sick","0",0.050026,49.4086,
"lake","beard","leave","patient","Novel","hold","dealer","Intact","pride","projector","0",0.050058,49.7813,
"shame","chicken","broken","mitten","Rearr","clarinet","goose","Rearr","dandelion","clang","0",0.050048,50.1281,
"birch","pizza","strap","sympathy","Novel","spinach","necklace","Rearr","sparrow","snatch","0",0.050032,50.5139,
"penny","lobster","crime","tractor","Novel","town","empty","Intact","innocent","vest","0",0.050839,50.85,
"elect","difficult","freezer","calculate","Rearr","lamb","period","Novel","shame","chicken","0",0.050038,51.1995,
"swear","virtue","send","tire","Novel","marriage","check","Intact","skirt","scratch","0",0.050009,51.5292,
"squint","team",,,,,,,"quart","annoy",,,,
"grass","shape",,,,,,,"bomb","barn",,,,
"shampoo","skillet",,,,,,,"uncommon","clue",,,,
"bench","cleaner",,,,,,,"cushion","crocodile",,,,
"mother","bleach",,,,,,,"duty","later",,,,
"scarf","millionth",,,,,,,"return","stool",,,,
"meeting","doorknob",,,,,,,"tail","weird",,,,
"anger","construct",,,,,,,"egypt","dependent",,,,
"bison","allow",,,,,,,"olympics","financial",,,,
"worn","late",,,,,,,"warm","tiptoe",,,,
"parent","sock",,,,,,,"stay","land",,,,
"grave","storm",,,,,,,"female","suggest",,,,
"lift","avocado",,,,,,,"tint","legs",,,,
"crunchy","obey",,,,,,,"rake","account",,,,
"rake","account",,,,,,,"hold","dealer",,,,
"present","mall",,,,,,,"grave","storm",,,,
"python","movement",,,,,,,"wide","washer",,,,
"perfume","monotone",,,,,,,"cowboy","stair",,,,
"soprano","human",,,,,,,"fake","thimble",,,,
"fridge","unlock",,,,,,,"brick","flop",,,,
"jigsaw","country",,,,,,,"shrimp","shade",,,,
"mustache","whole",,,,,,,"string","goose",,,,
"boil","homework",,,,,,,"boil","homework",,,,
"daring","stripe",,,,,,,"finish","shell",,,,
"chemistry","save",,,,,,,"hook","cello",,,,
"defeat","shallow",,,,,,,"banjo","fruit",,,,
"football","calm",,,,,,,"minimum","guess",,,,
"dandelion","clang",,,,,,,"mind","mouth",,,,
"otter","bacon",,,,,,,"bend","bashful",,,,
"vein","spit",,,,,,,"fridge","unlock",,,,
"upstairs","example",,,,,,,"huts","film",,,,
"spinach","neat",,,,,,,"clarinet","legend",,,,
"artist","worst",,,,,,,"taste","sparkle",,,,
"tight","winter",,,,,,,"bison","allow",,,,
"groceries","accept",,,,,,,"vanish","news",,,,
"shed","pistol",,,,,,,"sigh","wrath",,,,
"mind","mouth",,,,,,,"cheetah","tricycle",,,,
"tint","legs",,,,,,,"spinach","neat",,,,
"sorrow","shut",,,,,,,"town","empty",,,,
"steak","weight",,,,,,,"iguana","dolphin",,,,
"pride","projector",,,,,,,"straight","divide",,,,
"scotch","mitten",,,,,,,"steak","weight",,,,
"comment","wood",,,,,,,"mother","bleach",,,,
"magazine","rifle",,,,,,,"perfume","monotone",,,,
"money","saucer",,,,,,,"furnish","lapse",,,,
"apple","snob",,,,,,,"change","creep",,,,
"taste","sparkle",,,,,,,"ancient","cereal",,,,
"defense","tabloids",,,,,,,"shoelace","sale",,,,
"cheetah","tricycle",,,,,,,"sorrow","shut",,,,
"value","stupid",,,,,,,"discreet","ocean",,,,
,,,,,,,,"cars","square",,,,
,,,,,,,,"gross","necklace",,,,
,,,,,,,,"canoe","elephant",,,,
,,,,,,,,"care","smoke",,,,
,,,,,,,,"tooth","garland",,,,
,,,,,,,,"honeydew","machete",,,,
,,,,,,,,"escalator","sorority",,,,
,,,,,,,,"sassafras","rug",,,,

